SubNo,subject_label,trial_index,rt,block,village,face1,face2,false_time,mean_false,mean_rt,session_date,source_file
13,S13,12,6.757251,4,2,3,4,0.0,12.0412087333334,0.0,2025-12-06,SPtask1-13-2025-12-06.csv
13,S13,13,20.3360970999997,5,2,3,4,2.0,20.3360970999997,2.0,2025-12-06,SPtask1-13-2025-12-06.csv
13,S13,14,6.79628709999997,5,1,1,2,0.0,13.5661920999999,1.0,2025-12-06,SPtask1-13-2025-12-06.csv
13,S13,15,9.94465280000031,5,3,5,6,1.0,12.3590123333333,1.0,2025-12-06,SPtask1-13-2025-12-06.csv
13,S13,16,11.8178249000002,6,2,3,4,0.0,11.8178249000002,0.0,2025-12-06,SPtask1-13-2025-12-06.csv
13,S13,17,4.61439790000031,6,3,5,6,0.0,8.21611140000027,0.0,2025-12-06,SPtask1-13-2025-12-06.csv
13,S13,18,2.70427530000006,6,1,1,2,0.0,6.3788327000002,0.0,2025-12-06,SPtask1-13-2025-12-06.csv
13,S13,19,3.59062610000001,7,1,1,2,0.0,3.59062610000001,0.0,2025-12-06,SPtask1-13-2025-12-06.csv
13,S13,20,7.07763109999996,7,3,5,6,0.0,5.33412859999999,0.0,2025-12-06,SPtask1-13-2025-12-06.csv
13,S13,21,3.5057683,7,2,3,4,0.0,4.72467516666666,0.0,2025-12-06,SPtask1-13-2025-12-06.csv
14,S14,1,7.50034859999869,1,2,3,4,1.0,7.50034859999869,1.0,2026-04-12,SPtask1-14-2026-04-12.csv
14,S14,2,2.19075750000047,1,1,1,2,0.0,4.84555304999958,0.5,2026-04-12,SPtask1-14-2026-04-12.csv
14,S14,3,5.10544879999725,1,3,5,6,0.0,4.93218496666547,0.333333333333333,2026-04-12,SPtask1-14-2026-04-12.csv
14,S14,4,1.83226809999906,2,1,1,2,0.0,1.83226809999906,0.0,2026-04-12,SPtask1-14-2026-04-12.csv
14,S14,5,3.48762160000115,2,3,5,6,0.0,2.6599448500001,0.0,2026-04-12,SPtask1-14-2026-04-12.csv
14,S14,6,3.33967729999858,2,2,3,4,0.0,2.88652233333293,0.0,2026-04-12,SPtask1-14-2026-04-12.csv
15,S15,1,5.4729983000002,1,2,3,4,0.0,5.4729983000002,0.0,2025-12-06,SPtask1-15-2025-12-06.csv
15,S15,2,2.30469310000035,1,1,1,2,0.0,3.88884570000027,0.0,2025-12-06,SPtask1-15-2025-12-06.csv
15,S15,3,2.26314249999996,1,3,5,6,0.0,3.3469446333335,0.0,2025-12-06,SPtask1-15-2025-12-06.csv
