SubNo,raw_village_pair,pair_condition,estimate_type,n_matches,center_x_0to10,center_y_0to10,distance_to_true,distance_to_derived,true_center_x,true_center_y
29,BC,unknown,same_edges,2,7.399463806970509,5.201072386058981,0.4990942484737312,0.49117822853760984,6.949,5.111999999999999
31,AB,near,cross_edges,2,5.584170657098463,7.33895619358116,0.728188414324738,0.5621450890087747,5.112,6.949
31,AB,near,same_edges,2,5.082129464813483,6.9926647463839355,0.1729924496089093,0.2544033281445869,5.112,6.949
31,AC,far,cross_edges,2,4.310856563426495,3.8623525551035787,0.6219978266670971,0.6923749530676234,4.4395,4.4395
31,AC,far,same_edges,2,4.965981475218689,5.065660040632492,0.8727733633882899,0.71663275271542,4.4395,4.4395
31,BC,unknown,cross_edges,2,7.205602464608413,5.1393586689785495,0.27557181403546854,0.1090087634598827,6.949,5.111999999999999
31,BC,unknown,same_edges,2,7.137639112120857,5.085058659958915,0.41058159954727247,0.1802343530874367,6.949,5.111999999999999
35,AB,near,cross_edges,2,5.1474530831099194,7.024128686327078,0.16993496835745406,0.608264449585459,5.112,6.949
35,AB,near,same_edges,2,4.959785522788204,6.353887399463806,0.6170720301291953,0.3526651814688443,5.112,6.949
35,AC,far,cross_edges,2,3.9142091152815013,4.20911528150134,0.6069600019843574,0.6570635416801813,4.4395,4.4395
35,AC,far,same_edges,2,3.806970509383378,4.8525469168900806,1.1331132539599496,0.5869320964707818,4.4395,4.4395
35,BC,unknown,cross_edges,2,6.380697050938338,5.254691689008043,0.5925402100970597,0.5072097671766393,6.949,5.111999999999999
35,BC,unknown,same_edges,2,6.192882523834269,5.153065518095758,0.7635136855937079,0.6575984141221035,6.949,5.111999999999999
37,AB,near,cross_edges,2,4.959785522788204,6.729222520107239,0.26993309173776603,0.40807421662028776,5.112,6.949
37,AB,near,same_edges,2,4.879356568364611,6.648793565683646,0.4018057259171024,0.2244612413481625,5.112,6.949
37,AC,far,cross_edges,2,4.207712172754881,4.369936448652938,0.2722119164591534,0.1307969616175998,4.4395,4.4395
37,AC,far,same_edges,2,4.289544235924933,3.806970509383378,0.684005726185493,0.46586351858685804,4.4395,4.4395
37,BC,unknown,cross_edges,2,6.916890080428955,4.906166219839141,0.20836494057967445,1.2446851488602368,6.949,5.111999999999999
37,BC,unknown,same_edges,2,6.970509383378016,4.8525469168900806,0.3866598678651518,0.3688778086954862,6.949,5.111999999999999
39,AB,near,cross_edges,2,5.935828877005347,7.299465240641711,0.9011524217251005,0.6350749250089021,5.112,6.949
39,AB,near,same_edges,2,5.40165581400874,6.947523403740302,1.0802460162383072,0.8449441961557704,5.112,6.949
