SubNo,source,schema,face,village,ability_pct,warmth_pct,actual_ability,actual_warmth,projected_ability,projected_warmth,true_ability,true_warmth,delta_ability,delta_warmth,euclidean_error
35,MRtask-35-2025-07-18.mat,warmth_ability,5,3,48.392857142857146,25.833333333333336,271.00000000000006,155.00000000000003,4.839285714285715,2.5833333333333335,4.894,2.02,-0.05471428571428483,0.5633333333333335,0.5659841848547263
35,MRtask-35-2025-07-18.mat,warmth_ability,6,3,88.75,33.33333333333333,497.0,199.99999999999994,8.875,3.3333333333333326,7.659,3.185,1.2160000000000002,0.14833333333333254,1.225013786770491
37,MRtask-37-2026-03-22.mat,warmth_ability,1,1,15.512820512820513,48.87640449438202,121.0,435.0,1.5512820512820513,4.8876404494382015,2.416,4.788,-0.8647179487179486,0.09964044943820127,0.8704397451858593
37,MRtask-37-2026-03-22.mat,warmth_ability,2,1,20.128205128205128,74.49438202247191,157.0,663.0,2.0128205128205128,7.44943820224719,2.789,7.765,-0.7761794871794874,-0.31556179775280935,0.8378745995190431
37,MRtask-37-2026-03-22.mat,warmth_ability,3,2,66.28205128205128,80.89887640449437,517.0,719.9999999999999,6.628205128205128,8.089887640449437,6.426,8.527,0.2022051282051276,-0.4371123595505626,0.48161616329221385
37,MRtask-37-2026-03-22.mat,warmth_ability,4,2,87.82051282051282,69.32584269662921,685.0,617.0,8.782051282051281,6.932584269662922,8.817,6.716,-0.03494871794871912,0.21658426966292144,0.2193858672560295
37,MRtask-37-2026-03-22.mat,warmth_ability,5,3,53.84615384615385,17.752808988764045,420.0,158.0,5.384615384615384,1.7752808988764046,4.894,2.02,0.490615384615384,-0.2447191011235954,0.5482617021788424
37,MRtask-37-2026-03-22.mat,warmth_ability,6,3,80.51282051282051,27.303370786516858,628.0,243.00000000000003,8.051282051282051,2.7303370786516856,7.659,3.185,0.3922820512820513,-0.45466292134831443,0.6005027725223568
39,MRtask-39-2026-03-22.mat,warmth_ability,1,1,48.125,23.4375,308.0,150.0,4.8125,2.34375,2.416,4.788,2.3965,-2.4442500000000003,3.4230936756828614
39,MRtask-39-2026-03-22.mat,warmth_ability,2,1,91.09375,37.96875,583.0,243.0,9.109375,3.796875,2.789,7.765,6.320375,-3.9681249999999997,7.4627847454050285
39,MRtask-39-2026-03-22.mat,warmth_ability,3,2,80.0,66.40625,512.0,425.0,8.0,6.640625,6.426,8.527,1.5739999999999998,-1.8863749999999992,2.456804151865793
39,MRtask-39-2026-03-22.mat,warmth_ability,4,2,69.375,89.84375,444.0,575.0,6.9375,8.984375,8.817,6.716,-1.8795000000000002,2.268375,2.94585223502894
39,MRtask-39-2026-03-22.mat,warmth_ability,5,3,20.9375,50.15625,134.0,321.0,2.09375,5.015625,4.894,2.02,-2.80025,2.995625,4.1006303421699695
39,MRtask-39-2026-03-22.mat,warmth_ability,6,3,36.71875,79.0625,235.0,506.0,3.671875,7.90625,7.659,3.185,-3.987125,4.7212499999999995,6.179592812485706
41,MRtask-41-2026-03-22.mat,warmth_ability,1,1,15.75,50.32967032967033,126.0,458.0,1.575,5.032967032967033,2.416,4.788,-0.841,0.2449670329670326,0.8759508246703528
